Título,Letra
Sorry (Original Demo)," 
The big homie better hold up
Big homie better hold up
My whoadies 'bout to roll up
Young whoadies 'bout to stroll up
They comin' through the back door
The big homie better hold up
Me and my whoadies 'bout to roll up
I see them boppers in the corner
Sneaking out the back door
We really could be
Living young, wild and free
I left a note in the hallway
By the time you read it, I'll be far away (far away)
I ain't fucking with nobody
Toast to the good life
Suicide before you see my tears in my eyes
Me and my daughter, we gon' be alright
We gon' live a good life
Big homie better hold up
Me and my whoadies 'bout to roll up
I say my whoadies 'bout to stroll up
They comin' through the back door
Big homie better hold up
Me and my whoadies 'bout to stroll up
I see them boppers in the corner
Sneaking out the back door
We really could be
Living young, wild and free
Hell no, I ain't gon' call you back
Chase me 'round the world just to fall back
Ain't nobody got no time for that
Tryna keep my family right
Swear you're giving me your heart, but I don't care (don't care)
Better call Becky with the good hair (good hair)
You only want me when I'm not there
Boy, you better get in line
Sometimes I regret the day I put this ring on
Looking at my watch he should've been home
He always got them motherfucking excuses
I pray to God you reveal to me what his truth is
Hey, big homie better grow up
Ask you something then you choke up
Me and my whoadies gonna roll up
Beating down your back door
Big homie better hold up
You've been running game on the wrong one
I'm runnin' so fast for the long run
Runnin' out the back door
We truly could have been
Living young, wild and free
We truly could have been
Living young, wild and free
 "
Speechless," 
You've got me
You've got me
You've got me
You've got me speechless
Where've you been baby
Waited for you all day
Waited for you to use the key
That opens my place
My heart starts trembling
As I hear your footsteps pace
Lock opened, doorknob turned
There appeared your face
Going outta my head I think I'm loosing all my mind
Drive me crazy burning candles making love all night
Feels so strange it feels so crazy to be in your world
In your arms lost for words
You've got me!
You've got me
You've got me
You've got me
You've got me speechless
Laying so closely
I feel your skin rubbing and touching me
Only sweat between us
Feeling you kissing and pleasing me
I rub your back
I kiss your neck
I know that you love when we touch like that
I can feel you need me
Feels so good to me
Feels so good to me
Going outta my head I think I'm loosing all my mind
Drive me crazy burning candles making love all night
Feels so strange it feels so crazy to be in your world
In your arms lost for words
You've got me!
You've got me
You've got me
You've got me
You've got me speechless
Yes, yes, yes
Yes, yes, yes
Speechless, all I can say
Yes, yes, yes,
All I can say is
Yes, yes, yes, yes
Kiss me
Hold me
You've got me
Speechless
 "
Spirit," 
Uishi kwa muda mrefu mfalme
(Uishi kwa, uishi kwa)
Uishi kwa muda mrefu mfalme
(Uishi kwa, uishi kwa)
Yeah, yeah, and the wind is talking
Yeah, yeah, for the very first time
With a melody that pulls you towards it
Painting pictures of paradise
Saying: Rise up to the light in the sky, yeah
Watch the light lift your heart up
Burn your flame through the night
Woah, spirit, watch the heavens open (open), yeah
Spirit, can you hear it calling (calling)? Yeah
Yeah, yeah, and the water's crashing
Trying to keep your head up high
While you're trembling, that's when the magic happens
And the stars gather by, by your side
Saying: Rise up to the light in the sky, yeah
Let the light lift your heart up
Burn your flame through the night
Yeah, spirit, watch the heavens open (open), yeah
Spirit, can you hear it calling (calling)? Yeah
Your destiny is coming close
Stand up and fight
So go into that far off land
And be one with the Great I Am, I Am
A boy becomes a man
Woah, spirit, watch the heavens open (open), yeah
Spirit, can you hear it calling (calling)? Yeah
Spirit, watch the heavens open, open, yeah
Spirit, spirit, can you hear it calling (calling)? Yeah
Your destiny is coming close
Stand up and fight
So go into a far off land
And be one with the Great I Am
 "
Stand Up For Love," 
There are times I find it hard to sleep at night
We are living through such troubled times
And every child that reaches out for someone to hold
For one moment they become my own
And how can I pretend that I don't know what's going
on?
When every second, every minute another soul is gone?
And I believe that in my life I will see an end to
hopelessness, of giving up, of suffering
CHORUS
If we all stand together this one time
Then no one will get left behind
Stand up for life
Stand up and hear me sing
Stand up for love
I'm inspired and hopeful each and everyday
That's how I know that things are gonna change
So how can I pretend that I don't know what's going
on?
When every second, with every minute another soul is
gone?
And I believe that in my life I will see(I will see
yeah)
An end to hopelessness(Hopelessness), of giving
up(Giving Up), of suffering
CHORUS
If we all stand together this one time(Time)
Then no one will get left behind
Stand up for life
Stand up for love
And it all starts right here
And it starts right now
One person stands up and the rest will follow
For all the forgotten, for all the unloved
I'm gonna sing this song
And I believe... 
...that in my life I will see an end to hopelessness,
of giving up, of suffering
CHORUS
If we all stand together this one time
Then no one will get left behind
Stand up for life
Stand up and sing 
Stand up for love
 "
Standing On The Sun," 
Your body turn up, me say: Turn up, turn up
Gyal you hot like the sun, so you turn up, turn up
Your body turn up, me say: Turn up, turn up
Gyal you hot like the sun, so you turn up, Beyonce
Ya wind fi me!
Ya wind fi me!
My body is magnified
In the sun, set me alight
My body and your delights
Burn me up, set me alight
I can't deny your desire
Feel like I'm on fire
When, you touch me
I feel the flame lickin' at my feet
Can you feel the heat on my skin?
Can you feel, all my lovin'?
You and me
We're standin' on the sun
Can you feel my heart burnin'?
Can you feel all my good lovin'?
You and me
We're standin' on the sun
Feel everything
Standin' on the sun
Feel everything
Standin' on the sun
Feel everything
Standin' on the sun
Feel everything
Standin' on the sun
Let's get to huggin' and kissin'
Don't know the floor from the ceilin'
We cooked it up in the kitchen
Nobody hotter than you
You know that I'm twerkin'
And give you somethin' that's worth it
But d-d-daddy that's perfect
This 'yoncé only for you
All that ocean, can't you see it?
Mix up passion with fruit, sangria
BB Cubana, Ai que lindo
Ya tu sabes camino como cocino, primo
There's only one thing on my mind
I wanna love you long time
Want you to watch me while I wind
Want you to love me long time
We're just havin' such a good time
Over and over we find
With the flame lickin' at my feet
Kiss you while the sun kisses me
Can you feel the heat on my skin?
Can you feel, all my lovin'?
You and me
We're standin' on the sun
Can you feel my heart burnin'?
Can you feel all my good lovin'?
You and me
We're standin' on the sun
(Feel everything
Standin' on the sun)
Feel everything
Standin' on the sun
Feel everything
Standin' on the sun
Feel everything
Standin' on the sun
[Mr. Vegas]
Mi gal move up you body cause you know seh dat you hot
Move up you body cause you know you can't flap
'Nuff gal a watch you, meh seh 'nuff gal a chat
But none a dem can possess you di goodness you have
Wine fi me baby, wine and catch
When you get yah touch yah
Bus' a tic-toc yah
Una make me tun' up the temperature, tun' up the temperature
Tun' up the temperature pon you non-stop
I can't deny your desire
Feel like I'm on fire
When, you touch me
I feel the flame lickin' at my feet
Can you feel the heat on my skin?
Can you feel, all my lovin'?
You and me
We're standin' on the sun
Can you feel my heart burnin'?
Can you feel all my good lovin'?
You and me
We're standin' on the sun
(Feel everything
Standin' on the sun)
Feel everything
Standin' on the sun
Feel everything
Standin' on the sun
Feel everything
Standin' on the sun
Feel everything
Standin' on the sun
 "
Start Over," 
I feel weak
We've been here before
'Cause I feel we
Keep going back and forth
Maybe it's over
Maybe we're through
But I honestly can say
I still love you
Maybe we reached the mountain peak
And there's no more left to climb
And maybe we lost the magic piece
And we're both too blind to find
Let's start over
Let's give love their wings
Let's start over
Stop fighting about the same old thing
Let's start over
We can't let our good love die
Maybe we can start all over
And give love another life
I can see
That we're not happy here
So why would we
Keep pretending when there's nothing there?
Maybe you like it
Well, I don't
Maybe you'll settle
Well, I won't
Maybe we reached the mountain peak
And there's no more left to climb
And maybe we lost the magic piece
And we're both too blind to find
Let's start over
Let's give love their wings
Let's start over
Stop fighting about the same old thing
Let's start over
We can't let our good love die
Maybe we can start all over
And give love another life
I know that this will hurt you
I know you'll cry
I know I called you selfish
But that's a lie
I feel I know what's the best for us
Let's start over!
And let's give love their wings
Let's start over
I'm tired of fighting about the same old thing
Let's start over
We both know that this love won't die
Maybe we can start all over
And give love another life
 "
Stay," 
All along it was a fever
A cold sweat hot-headed believer
I threw my hands in the air and said show me something
He said, if you dare come a little closer
Round and around and around and around we go
Ohhh now tell me now tell me now tell me now you know
Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
And it takes me all the way
I want you to stay
It's not much of a life you're living
It's not just something you take, it's given
Round and around and around and around we go
Ohhh now tell me now tell me now tell me now you know
Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
And it takes me all the way
And I want you to stay
Ohhh the reason I hold on
Ohhh cause I need this hole gone
Funny you're the broken one but I'm the only one who needed saving
Cause when you never see the light it's hard to know which one of us is caving
Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
And it takes me all the way
I want you to stay, stay
I want you to stay, ohhh
 "
Still In Love (Kissing You)," 
I'm so in love
I'm still in love
I never met love quite before
Until I saw your face
And watching stars without you
My soul cries
My hething heart
Is full of pain
When we're apart
Be aching
I'm kissing you
Oh
I'm kissing you oh
You're my father, you're my soldier
You protect me
Boy you save me
You're best friend
You're my husband
You are my doctor, counselor, provider, professor, my everything
And I love you, I love you, I love you, yes, I love you
I, I need you, I need you, I need you
I can't live without you
I trust you, I trust you with every ounce of me
Just teach me boy teach me just take me
When we make love I can feel all your spirit
Deep inside of me, yea
Baby, you're so pure, oh
I'm kissing you forever and ever and ever
I love kissing you, kissing you, kissing you
I love everything about you, baby
It's been so many years since we fell in love
You got something special, baby
We can cry together
We can grow together
Be ourselves togeteher
And I love you
More than music
Yes I love you more than music
I rather be kissing you, oh
I'm kissing you, oh
Kissing you
Kissing you
 "
Stop Sign," 
I like to feel so high and
you feel good feeling low
I like my colours vivid
and you paint your colors gone
I like to see the world
and you like your week in tone
but I've been staying behind
while you refused to go
(Chorus)
'Cause you're such a burden
but you're the weight off of my shoulders
'Cause even though I'm hurting
it still feels like it's time I'm growing
When I thought that we'd grow up and grow
together the same time
guess I passed you by at that old ""Stop"" sign
At that old ""Stop"" sign
You like to sleep all day and I like my minutes owed
I like trips to the movies you watch TV all night long
I like to go out dancing and you go out just to hang
And I've been right beside you losing me
and doing the same
(Chorus)
'Cause you're such a burden
but you're the weight above my shoulders
'Cause even though I'm hurting
it still feels like it's time I'm growing
When I thought that we'd grow up and grow
together the same time
guess I passed you by at that old ""Stop"" sign
At that old ""Stop"" sign
I looked around and baby you were gone
Where did I lost you honey
I even slowed down thought you'd follow
But you took your own roads honey
'Cause I've been traveling traveling traveling
only to find you
I'm making this trip alone
And I've been staying behind
while you refused to go
(Chorus)
'Cause you're such a burden
but you're the weight above my shoulders
'Cause even though I'm hurting
it still feels like it's time I'm growing
When I thought that we'd grow up and grow
together the same time
guess I passed you by at that old ""Stop"" sign
At that old ""Stop"" sign
 "
Stop That!," 
Chorus
[B] Yo where the brother by my side at?
[M] Yo you really need to stop that
[B] Get it right!
[M] It's not even like that
[B] Try to get a job before we livin outta box black
[M]Put it on that and here's ya demo you can shop dat[Beyonce]
It's funny how things turn around
Last night you tryna get down you act like you down
Any other time it's like you steady hatin on Brown
I'm tryna see my name in lights you tryna short it out the ground[Mekhi]
You're the one that's got it twisted cause I'm right by your side
I had a bad day you jumpin' on my back for a ride
What can a man say I'm on the run, just for your auditionin
Callin on you every night it's like you never listenin[Beyonce]
You're the one that's switchin up gettin to specifics
When you say that I'm just dreamin I be rollin like a Misholin (?)[Mekhi]
Carmen you just trippin cause you know I love you infinite
Just so we could be here look at everything I did for this[Beyonce]
So why you actin like that
You don't have to take it anymore fight back
I came to far to turn around and just hike back
Trying to get me sidetracked see me on the corner where the sign of the time
atChorus x2[Beyonce]
And yo I came from the projects now I want the condos
Trying to be a star and now you messin up my cosmo[Mekhi]
But you can't find something if you walkin' wit a blindfold
Carmen I can see right through you with my eyes closed[B]Grown man to finance
[M]You actin like a nuisance
[B]You're the one that's in the club and tryin to do a new dance[Mekhi]
Songs you got me singin like my name was Bobbly Blubland
Don't make me sing 'em cause the game you playin baby two can
 "
Suga Mama," 
Damn, that was so good
I wanna buy him a short set
I'ma be like a jolly rancher that you get from the corner store
I'ma be like a waffle cone that's dripping down to the floor
The way you do if for me I can't lie (lie)
About to be up in the mall all night (yes)
Whatever I get you putting it on (yes)
Don't give me no lip, let mama do it all
Let me be, I wants to be, gots to be
Your suga, give mama some suga mama
Suga mama, mama
I'll be your suga mama (suga mama)
Let me be, I wants to be, gots to be
New whip, new heavy on the wrist
'Cause I'm a suga mama, mama
I'll be your suga mama (suga mama)
Hey, hey
Sit on mama lap, hey, hey
Come sit on mama lap, hey
Come sit on mama lap, hey, hey
Come sit on mama lap, hey
It's so good to the point that I'd do anything to keep you home
Baby what you want me to buy?
My accountant's waiting on the phone
Just the thought of making love to you
Dropping everything, that's what I'll do
Whatever I get you putting it on
Now take it off while I watch you perform
Let me be, I wants to be, gots to be
Your suga, give mama some suga mama
Suga mama, mama
I'll be your suga mama (suga mama)
Let me be, I wants to be, gots to be
New whip, new heavy on the wrist
'Cause I'm a suga mama, mama
I'll be your suga mama (suga mama)
'Cause I'm a suga mama, mama
I'll be your suga mama (suga mama)
Hey, hey
Sit on mama lap, hey, hey
Come sit on mama lap, hey
Come sit on mama lap, hey, hey
Come sit on mama lap, hey
And I've always been the type to take care of mine
I know just what I'm doing
Don't you worry, it's cool and everything is steady
Got you on my taxes already, yeah, yeah, yeah, yeah
I promise I won't let no bills get behind
'Cause every touch, every kiss and hug
You best believe it'll be on time
Suga mama, mama, mama, yeah, yeah, yeah
I'll give you all my money, baby
Turn me on, boy, something crazy
Take my credit card, here my house, take my car
Don't forget to give mama some sugar
Some sugar 'fore you walk out that door
Sit on mama lap, hey, hey (yes-ah)
Come sit on mama lap, hey (yes-uh)
Come sit on mama lap, hey, hey (yeah, yeah)
Come sit on mama lap, hey, hey
Sit on mama lap, hey, hey (yes-ah)
Come sit on mama lap, hey (yes-uh)
Come sit on mama lap, hey, hey (yeah, yeah)
Come sit on mama lap, hey
 "
SUMMER RENAISSANCE," 
I wanna house you and make you take my name
I'm gonna spouse you and make you tat your ring
I'm gonna take you all the way
Baby, can I take you all the way?
You sexy motherfucker
Boy, you growin' on me
I just wanna thug you, the category is Bey
You gangster motherfucker
Boy, you growin' on me
I just wanna touch you, I can feel it through those jeans
Ah (oh)
Boy, you never have a chance
If you make my body talk, I'ma leave you in a trance
Got you walkin' with a limp, bet this body make you dance
Dance, dance, dance
Oh, it's so good, it's so good
It's so good, it's so good, it's so good
Oh, it's so good, it's so good
It's so good, it's so good, it's so good
(Oh, it's so good, it's so good)
(It's so good, it's so good, it's so good)
I wanna crush you, I won't overanalyze
I'm gonna trust you even though we met tonight
But I'm gonna take you all the way
Baby, can I take you all the way?
You sexy motherfucker
Boy, you growin' on me
I just wanna thug you, the category is Bey (you growin' on me)
You gangster motherfucker
Boy, you growin' on me (you, you, you growin' on me)
Black silicone and rubbers, I can feel it through those jeans (growin' on me, I)
I'm feelin' way too loose to be tied down
Can you see my brain open wide now?
Come and get what I came for, hella night now
Know you love when I role-play, who am I now?
I'm a doc, I'm a nurse, I'm a teacher
Dominate is the best way to beat ya
Sorry 'bout yesterday, now the sweet stuff
You a sweetie pie, come let me eat ya
(Fuck it up)
(Oh) boy, you never have a chance
If you make my body talk, I'ma leave you in a trance
Got you walkin' with a limp, bet this body make you dance
Dance, dance, dance
Oh, it's so good, it's so good
It's so good, it's so good, it's so good
Oh, it's so good, it's so good
It's so good, it's so good, it's so good
Applause
A round of applause
Applause
A round of applause
Say I want, want, want, what I want, want, want
(I want, want, want what I want, want, want)
I want, want, want what I want, want, want
(I want, want, want what I want, want, want)
I want your touch, I want your feeling
(I want your touch, I want your feeling)
I want your love, I want your spirit
(I want your love, I want your spirit)
The more I want, the more I need it
(The more I want, the more I need it)
Need it
(Need it)
Versace, Bottega, Prada, Balenciaga
Vuitton, Dior, Givenchy
Collect your coins, Beyoncé
So elegant and raunchy
This haute couture I'm flauntin'
This Telfar bag imported
Birkins, them shits in storage
I'm in my bag, bag, bag, bag, bag, bag
Bag, bag, bag, bag, bag, bag, bag, bag, bag
Ah, oh
Ah, oh
 "
Summertime," 
Out of all the guys that approach me
Walking up to me like they know me
Your were the one that stayed aside
Waited a while and took your time
You don't know how impressing
Your curiosity was to me
It was the 4th day of July
Looked in my eyes and saw that I
I wanted more than just a man
I needed a friend
Someone I can talk to someone who really listens
When you touched my hand the sun got brighter then
Trusting you I closed my eyes and felt our love begin
It was the summertime 
When we fell in love ot was the summertime 
Heaven shined on us it was the summertime 
Baby there is nothing like the summertime
Summertime
Now it's been a year and were closer
Fall in love again when I hold ya
I know that God set you aside for me
And now you are my prize
Wanna grow old witcha
And fill our house with your pictures
Have a son for you
A little girl for me
Together we'll raise a family
Baby you're more than just a man
You are my best friend
Someone I can talk to someone who really listens
When you touched my hand the sun got brighter then
Trusting you I closed my eyes and felt our love begin
It was the summertime
When we fell in love it was the summertime
Heaven shined on us it was the summertime
Baby there is nothing like the summertime
Summertime
It was the summertime
When we fell in love it was the summertime
Heaven shined on us it was the summertime
Baby there is nothing like the summertime
Summertime
 "
Summertime (Remix feat. Ghostface Killah)," 
[Ghostface Killah - talking]
Yeah .. uh huh
What up girl, yeah
I hear all that
That's real nice and all that
It's been, it been good though
Cause it's been a year
It been real good
Cause it been so good
In the summertime all over again
Tell me somethin
[Beyonce]
Out of all the guys that approach me
Walking up to me like they know me
You were the one that stayed aside
Waited a while and took your time
You don't know how impressing
Your curiousity was to me
It was the fourth day of July
Looked in my eyes and saw that I
[Break - Beyonce - w/ ad libs]
I wanted more than just a man (man)
I needed a friend (I want a friend)
Someone I can talk to
Someone who'll really listen
When you touched my hand
The sun got brighter then
Trusting you I close my eyes
And felt our love begin
[Chorus - Beyonce]
It was the summertime (when we fell in love)
It was the summertime (when heaven shined on us)
It was the summertime (baby there is nothing like the)
Summertime, summertime
[Beyonce]
Now it's been a year and we're closer
Fall in love again when I hold ya
I know that God set you aside
For me and now, you are my prize
Wanna grow old with ya
Fill our house with your pictures
Have a son for you
A little girl for me
Together we'll raise a family
[Break - w/ ad libs]
[Ghostface Killah - talking behind Break]
I wanna understand everything you talk about baby
That's my word, cause I feel the same way
You know what I mean?
I've been feelin this way for a long time too
And a .. it's like I wanna be a daddy
I wanna be your lover
Your everything, I just wanna share life with you
Just like yo
That's why I tell you I love you
[Ghostface Killah]
I use to sit back and analyze on how we first met
A year ago on the barbershop steps
You and your friends walked past me
I called you back like ""come here sexy have a word with you yet,
please?""
Congratulations on bein my gift
God wrapped you up tight and he preserved my wish
I'm not a psychic it's just that I'm in tune with such
I swear the vibes got heavy when we got real close
My whole demeanor caused me to ask questions and stare at you
strangely
Have I found my baby?
If so then tell me now
Look like you was 'bout to say somethin, you just broke a smile
Gave you the number and I said I'd dial (yeah)
A year later we on the block like ""bow""
Tell me somethin, is it me or we up to somethin?
Love to love ya, your my friend and my woman
[Chorus]
It was the summertime (when we fell in love)
It was the summertime (when heaven shined on us)
It was the summertime (baby there is nothing like the)
Summertime, summertime
[Ghostface Killah - talking]
This is Theodore, that's right
I keep hearin this all in my head over and over
I can't get it out, it's crazy
You know what I'm sayin baby
This joint is real, I like that
Tell me somethin
[Chorus]
It was the summertime (when we fell in love)
It was the summertime (when heaven shined on us)
It was the summertime (baby there is nothing like the)
Summertime, summertime
 "
Super Bowl XLVII Halftime Show," 
Baby, it's you
You're the one I love
You're the one I need
You're the only one I see
Baby, baby it's you
Come on baby it's you
Come on baby it's you
When I need you baby everything stops
I look and stare so deep in your eyes
I touch on you more and more every time
When you leave I'm begging you not to go
Call your name two or three times in a row
Such a funny thing for me to try to explain
How I'm feeling and my pride is the one to blame
'Cuz I know I don't understand
Just how your love you're doing no one else can
Got me looking so crazy right now, your love's
Got me looking so crazy right now (in love)
Got me looking so crazy right now, your touch
Got me looking so crazy right now (your touch)
Got me hoping you'll page me right now, your kiss
Got me hoping you'll save me right now
Looking so crazy in love's
Got me looking, got me looking so crazy in love
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Ladies and gentlemen
Got me looking so crazy right now, your love's
Got me looking so crazy right now (in love)
Got me looking so crazy right now, your touch
Got me looking so crazy right now (your touch)
Got me hoping you'll page me right now, your kiss
Got me hoping you'll save me right now
Looking so crazy in love's
Got me looking, got me looking so crazy in love
Looking so crazy in love's
Got me looking, got me looking so crazy in love
You don't have to worry baby
I promise I'll set your heart free
Let my love into your soul
You go
Hup
Uh-hu
I'll be your baby
I promise not to let you go
Love you like crazy
I say you'll never let me go
Baby, come on
Get up on this
Show me that you really want it
I wanna be the one to love you
Baby, let's go!
(Let's go)
I wanna provide
This loving that you're giving
I ain't frontin' in this love
Can you let me love you from head to toe
Baby, let's go!
Come take my hand (Baby)
I won't let you go (Let you go)
I'll be your friend
I will love you so deeply
I will be the one
To kiss you at night (Kiss you at night)
I will love you
Until the end of time
Say you'll never let me go
Say you'll never let me go
Say you'll never let me go
Say you'll never let me go
One the wig
One the wig
One the wig
One the wig
Baby boy, you stay on my mind
Fulfill my fantasies
I think about you all the time
I see you in my dreams
Aah, oh my baby's fly, baby oh
Yes no hurt me so good, baby oh
I'm so wrapped up in your love let me go
Let me breathe, stay out my fantasies
(Boy)
I don't think you can handle this
I don't think you ready for this jelly
I don't think you ready for this jelly
I don't think you ready for this
Cause my body's too bootylicious for ya babe
My body au ae
My body au ae
Question: Tell me what you think about me
I buy my own diamonds and I buy my own rings
Only ring your cell-y when I'm feelin lonely
When it's all over please get up and leave
Question: The shoes on my feet
I've bought it
The clothes I'm wearing
I've bought it
The rock I'm rockin'
I've bought it
'Cause I depend on me
(I depend on me)
All the women who are independent
Throw your hands up at me
All the honeys who makin' money
Throw your hands up at me
All the mommas who profit dollas
Throw your hands up at me
All the ladies who truly feel me
Throw your hands up at me
Child of Destiny
Independent beauty
No-one else can scare me
Charlie's Angels
Good morning, Angels
Good morning, Charlie
All the single ladies (all the single ladies)
All the single ladies (all the single ladies)
All the single ladies (all the single ladies)
All the single ladies (all the single ladies)
Now put your hands up
Up in the club, we just broke up
I'm doing my own little thing
Decided to dip, but now you wanna trip
Cuz another brother noticed me
I'm up on him, you're up on me
Don't pay him any attention
Cried my tears, three good years
Ya can't be mad at me
Cuz if you liked it
Then you should have put a ring on it
If you liked it
Then you should have put a ring on it
Don't be mad once you see that he want it
If you liked it
Then you should have put a ring on it
Oh, oh, oh, oh
Cuz if you liked it
Then you should have put a ring on it
If you liked it
Then you should have put a ring on it
Don't be mad once you see that he want it
If you liked it
Then you should have put a ring on it
Put your hands up, put your hands up
Put your hands up, put your hands up
Cuz if you liked it
Then you should have put a ring on it
If you liked it
Then you should have put a ring on it
Don't be mad once you see that he want it
If you liked it
Then you should have put a ring on it
Put your hands up, put your hands up
Put your hands up, put your hands up
Cuz if you liked it
Then you should have put a ring on it
If you liked it
Then you should have put a ring on it
Don't be mad once you see that he want it
If you liked it
Then you should have put a ring on it
Cuz if you liked it
Then you should have put a ring on it
If you liked it
Then you should have put a ring on it
Don't be mad once you see that he want it
If you liked it
Then you should have put a ring on it
Remember those walls I built
Well baby they're tumbling down
And they didn't even put up a fight
They didn't even make a sound
I found a way to let you in
But I never really had a doubt
Standing in the light of your halo
I got my angel now
It's like I've been awakened
Every rule I had you breaking
It's the risk that I'm taking
I ain't never gonna shut you out
Everywhere we're looking now
I'm surrounded by your embrace
Baby I can see your halo
Pray it won't fade away
I can feel your halo, halo, halo
Can see your halo, halo, halo
Can feel your halo, halo, halo
Can see your halo, halo, halo
I can feel your halo, halo, halo
Can see your halo, halo, halo
Can feel your halo, halo, halo
Can see your halo, halo, halo
I can feel your halo, halo, halo
Can see your halo, halo, halo
Can feel your halo, halo, halo
Can see your halo, halo, halo
I can feel your halo, halo, halo
Can see your halo, halo, halo
Can feel your halo, halo, halo
Can see your halo, halo, halo
 "
Superpower (feat. Frank Ocean)," 
When the palm of my two hands hold each other
That feels different
From when your hands are in mine
That's just the way it is
And when my voice is screaming out to my own ears
That feels different
From when I hear yours
Now that's just the way it is
And when I'm standing in this mirror after all these years
What I'm viewing is a little different
From what your eyes show ya
I guess I didn't see myself before ya
Moving forward
(Superpower)
A subtle power
(Superpower)
A tough love
(Superpower)
Oh, like a shark
(Superpower)
Ooh, like a bear
A tough love
And I thought the world would revolve
(I thought the world would revolve)
Without us
(Without us, without us, without us)
But nothing I know could slow us down
They couldn't slow us down
I thought I could live without you
Hey, hey
'Cause nothing I know can break us down
They can't break us down
And just like you, I can't be scared
And just like you, I hope I'm spared
But it's tough love
I know you feel it in the air
Even the babies know it's there
A tough love
(Superpower)
The laws of the world tell us what goes sky and what falls
It's the superpower
(Superpower)
The laws of the world never stopped us once
'Cause together we've got plenty super power
(Superpower)
A subtle power
(Superpower)
A tough love
(Superpower)
Oh, like a shark
(Superpower)
Ooh, too much to bear
And I thought the world would revolve
(I thought the world would revolve)
Without us
(Without us, without us, without us)
But nothing I know could slow us down
They couldn't slow us down
I thought I could live without you
But together we've got plenty power
But nothing I know could break us down
They couldn't break us down
Yes, we can
(Couldn't break us down)
(They couldn't break us down)
Yes, we can
(Couldn't break us down)
(They couldn't break us down)
Yes, we can
(Couldn't break us down)
We can make it, baby
(They couldn't break us down)
Yes, we can
(Couldn't break us down)
(They couldn't break us down)
 "
surrender (simba & scar interlude) (feat. Donald Glover & Chiwetel Ejiofor)," 
[Simba]
Give me one good reason why I shouldn't rip you apart
[Scar]
I can give you more than one
 "
Survivor," 
(Now that you're out of my life
I'm so much better
You thought that I'd be weak without you
But I'm stronger
You thought that I'd be broke without you
But I'm richer
You thought that I'd be sad without you
I laugh harder
You thought I wouldn't grow without you
Now I'm wiser
Though that I'd be helpless without you
But I'm smarter
You thought that I'd be stressed without you
But I'm chillin'
You thought I wouldn't sell without you
Sold 9 million
I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)
I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)
Thought I couldn't breathe without you
I'm inhaling
You thought I couldn't see without you
Perfect vision
You thought I couldn't last without you
But I'm lastin'
You thought that I would die without you
But I'm livin'
Thought that I would fail without you
But I'm on top
Thought it would be over by now
But it won't stop
Thought that I would self destruct
But I'm still here
Even in my years to come
I'm still gon be here
I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)
I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)
I'm wishin' you the best
Pray that you are blessed
Bring much success, no stress, and lots of happiness
(I'm better than that)
I'm not gon blast you on the radio
(I'm better than that)
I'm not gon lie on you and evalue
(I'm better than that)
I'm not gon hate on you in the magazines
('m better than that)
I'm not gon compromise my Christianity
(I'm better than that)
You know I'm not gon diss you on the internet
Cause my mama taught me better than that
I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)
I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)
After of all of the darkness and sadness
Soon comes happiness
If I surround myself with positive things
I'll gain prosperity
I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)
 "
